Asset ID,Confidentiality,Integrity,Availability,Risk Index,Risk Level
A49,0.4,0.5,0.5,0.36,Low
A50,0.7,1.0,0.5,0.5,Medium
A51,0.9,1.0,0.9,0.85,High
A52,0.9,1.0,0.7,0.81,High
A53,0.6,0.8,0.5,0.43,Medium
A54,0.4,0.5,0.5,0.39,Low
A55,0.9,0.9,0.5,0.72,High
A56,0.6,0.8,0.5,0.49,Medium
A57,0.9,1.0,0.5,0.72,High
A58,0.8,0.6,0.5,0.52,Medium
A59,0.9,0.9,0.5,0.74,High
A60,0.9,0.9,0.5,0.66,Medium
A61,0.8,0.7,0.5,0.6,Medium
A62,0.9,0.8,0.6,0.79,High
A63,0.9,0.4,0.5,0.69,Medium
A64,0.9,0.9,0.6,0.77,High
A65,0.7,0.5,0.5,0.56,Medium
A66,0.7,1.0,0.6,0.63,Medium
A67,0.9,1.0,0.7,0.81,High
A68,0.9,1.0,0.8,0.83,High
A69,0.8,0.9,0.7,0.7,High
A70,0.9,0.9,0.5,0.72,High
A71,0.4,0.9,0.5,0.41,Medium
A72,0.9,1.0,0.5,0.69,Medium
A73,0.9,0.8,0.7,0.78,High
A74,0.8,1.0,0.6,0.71,High
A75,0.7,0.8,0.5,0.5,Medium
A76,0.9,1.0,0.5,0.75,High
A77,0.9,0.5,0.5,0.77,High
A78,0.8,0.8,0.5,0.63,Medium
A79,0.7,0.8,0.5,0.52,Medium
A80,0.6,1.0,0.5,0.49,Medium
A81,0.7,0.5,0.5,0.44,Medium
A82,0.3,0.4,0.5,0.35,Low
A83,0.5,0.4,0.5,0.36,Low
A84,0.9,0.5,0.5,0.62,Medium
A85,0.8,0.4,0.5,0.49,Medium
A86,0.8,1.0,0.6,0.72,High
A87,0.8,0.5,0.5,0.5,Medium
A88,0.8,0.4,0.5,0.44,Medium
A89,0.5,0.4,0.5,0.39,Low
A90,0.4,0.5,0.5,0.36,Low
A91,0.7,0.4,0.5,0.46,Medium
A92,0.8,1.0,0.6,0.7,High
A93,0.8,0.5,0.5,0.52,Medium
A94,0.6,0.6,0.5,0.43,Medium
A95,0.2,0.7,0.5,0.35,Low
A96,0.5,0.6,0.5,0.39,Low
A97,0.9,0.9,0.6,0.69,Medium
A98,0.9,0.9,0.5,0.76,High
A99,0.7,1.0,0.6,0.55,Medium
A100,0.9,1.0,0.7,0.83,High
A101,0.9,0.4,0.5,0.76,High
A102,0.9,0.8,0.6,0.78,High
A103,0.9,0.6,0.5,0.72,High
A104,0.8,0.5,0.5,0.49,Medium
A105,0.7,0.8,0.5,0.47,Medium
A106,0.5,1.0,0.5,0.48,Medium
A107,0.9,0.9,0.7,0.81,High
A108,0.4,1.0,0.5,0.43,Medium
A109,0.9,1.0,0.9,0.85,High
A110,0.9,1.0,0.8,0.83,High
A111,0.4,0.5,0.5,0.37,Low
A112,0.4,1.0,0.5,0.39,Low
A113,0.9,1.0,0.8,0.84,High
A114,0.6,0.8,0.5,0.49,Medium
A115,0.8,0.9,0.6,0.62,Medium
A116,0.2,0.4,0.5,0.34,Low
A117,0.9,1.0,0.9,0.85,High
A118,0.6,0.6,0.5,0.44,Medium
A119,0.9,1.0,0.7,0.83,High
A120,0.8,0.4,0.5,0.55,Medium
A121,0.6,0.8,0.5,0.42,Medium
A122,0.9,0.7,0.6,0.62,Medium
A123,0.5,0.4,0.5,0.39,Low
A124,0.9,1.0,0.5,0.73,High
A125,0.9,1.0,0.7,0.76,High
A126,0.9,1.0,0.7,0.75,High
A127,0.5,0.4,0.5,0.36,Low
A128,0.7,0.5,0.5,0.48,Medium
A129,0.9,1.0,0.7,0.82,High
A130,0.8,0.7,0.5,0.59,Medium
A131,0.8,0.6,0.5,0.62,Medium
A132,0.6,0.7,0.5,0.43,Medium
A133,0.5,1.0,0.5,0.43,Medium
A134,0.9,1.0,0.8,0.82,High
A135,0.8,1.0,0.5,0.64,Medium
A136,0.9,1.0,0.7,0.78,High
A137,0.9,1.0,0.8,0.85,High
A138,0.9,0.8,0.6,0.81,High
A139,0.9,0.6,0.5,0.66,Medium
A140,0.8,0.9,0.5,0.61,Medium
A141,0.9,1.0,0.8,0.85,High
A142,0.7,0.7,0.5,0.47,Medium
A143,0.5,0.9,0.5,0.45,Medium
A144,0.9,1.0,0.6,0.82,High
A145,0.8,0.6,0.5,0.49,Medium
A146,0.8,0.8,0.5,0.55,Medium
A147,0.8,0.5,0.5,0.52,Medium
A148,0.6,0.4,0.5,0.38,Low
A149,0.9,0.8,0.6,0.78,High
A150,0.9,0.6,0.6,0.74,High
A151,0.6,0.4,0.5,0.4,Medium
A152,0.9,1.0,0.5,0.71,High
A153,0.9,0.9,0.6,0.76,High
A154,0.9,0.4,0.5,0.69,Medium
A155,0.4,0.4,0.5,0.36,Low
A156,0.5,1.0,0.5,0.5,Medium
A157,0.5,1.0,0.5,0.44,Medium
A158,0.9,0.9,0.7,0.83,High
A159,0.9,1.0,0.5,0.83,High
A160,0.4,0.6,0.5,0.39,Low
A161,0.9,0.8,0.5,0.71,High
A162,0.6,0.8,0.5,0.5,Medium
A163,0.9,0.5,0.5,0.7,High
A164,0.7,0.6,0.5,0.49,Medium
A165,0.4,0.4,0.5,0.36,Low
A166,0.4,0.5,0.5,0.36,Low
A167,0.9,0.5,0.5,0.7,High
A168,0.9,0.8,0.5,0.73,High
A169,0.9,0.8,0.5,0.72,High
A170,0.9,1.0,0.5,0.74,High
A171,0.8,0.4,0.5,0.54,Medium
A172,0.8,0.6,0.5,0.59,Medium
A173,0.9,0.7,0.5,0.64,Medium
A174,0.9,1.0,0.5,0.84,High
A175,0.9,0.8,0.6,0.82,High
A176,0.8,1.0,0.5,0.65,Medium
A177,0.9,1.0,0.6,0.72,High
A178,0.9,0.8,0.5,0.77,High
A179,0.7,0.5,0.5,0.43,Medium
A180,0.6,0.4,0.5,0.39,Low
A181,0.8,0.6,0.5,0.61,Medium
A182,0.4,0.4,0.5,0.37,Low
A183,0.6,0.6,0.5,0.44,Medium
A184,0.8,0.9,0.5,0.55,Medium
A185,0.7,0.5,0.5,0.53,Medium
A186,0.6,0.4,0.5,0.39,Low
A187,0.7,0.4,0.5,0.44,Medium
A188,0.9,1.0,0.5,0.7,High
A189,0.9,1.0,0.6,0.78,High
A190,0.9,1.0,0.8,0.81,High
A191,0.3,0.6,0.5,0.35,Low
A192,0.9,1.0,0.6,0.74,High
A193,0.5,0.7,0.5,0.44,Medium
A194,0.8,0.6,0.5,0.62,Medium
A195,0.9,1.0,0.6,0.71,High
A196,0.9,0.4,0.5,0.56,Medium
A197,0.9,1.0,0.5,0.76,High
A198,0.8,0.7,0.5,0.57,Medium
A199,0.9,1.0,0.6,0.76,High
A200,0.7,1.0,0.5,0.57,Medium
A201,0.8,0.5,0.5,0.53,Medium
A202,0.3,1.0,0.5,0.37,Low
A203,0.5,0.5,0.5,0.39,Low
A204,0.8,1.0,0.6,0.64,Medium
A205,0.9,1.0,0.9,0.81,High
A206,0.9,0.4,0.5,0.66,Medium
A207,0.9,1.0,0.7,0.84,High
A208,0.5,0.7,0.5,0.42,Medium
A209,0.8,0.5,0.5,0.56,Medium
A210,0.6,1.0,0.5,0.53,Medium
A211,0.8,1.0,0.6,0.69,Medium
A212,0.8,0.8,0.5,0.59,Medium
A213,0.5,0.6,0.5,0.38,Low
A214,0.9,0.5,0.5,0.62,Medium
A215,0.7,0.8,0.5,0.55,Medium
A216,0.9,0.5,0.6,0.75,High
A217,0.5,1.0,0.5,0.4,Medium
A218,0.9,0.7,0.5,0.63,Medium
A219,0.8,0.5,0.5,0.49,Medium
A220,0.4,0.7,0.5,0.38,Low
A221,0.8,0.9,0.7,0.71,High
A222,0.9,0.9,0.6,0.67,Medium
A223,0.9,0.9,0.5,0.7,High
A224,0.8,0.4,0.5,0.41,Medium
A225,0.3,0.4,0.5,0.35,Low
A226,0.9,1.0,0.7,0.78,High
A227,0.8,0.8,0.5,0.63,Medium
A228,0.9,1.0,0.5,0.73,High
A229,0.7,0.7,0.5,0.47,Medium
A230,0.7,0.5,0.5,0.41,Medium
A231,0.9,1.0,0.8,0.84,High
A232,0.9,0.9,0.5,0.78,High
A233,0.8,0.4,0.5,0.56,Medium
A234,0.6,0.9,0.5,0.49,Medium
A235,0.7,0.9,0.5,0.53,Medium
A236,0.9,1.0,0.5,0.77,High
A237,0.9,0.6,0.5,0.66,Medium
A238,0.6,0.4,0.5,0.38,Low
A239,0.8,0.5,0.5,0.53,Medium
A240,0.9,0.5,0.5,0.73,High
A241,0.9,0.5,0.5,0.69,Medium
A242,0.9,0.7,0.5,0.77,High
A243,0.7,0.7,0.5,0.52,Medium
A244,0.9,1.0,0.6,0.67,Medium
A245,0.9,0.8,0.6,0.59,Medium
A246,0.8,0.5,0.5,0.58,Medium
A247,0.9,0.6,0.5,0.7,High
A248,0.9,0.9,0.5,0.7,High
A249,0.8,0.8,0.5,0.61,Medium
A250,0.9,0.5,0.6,0.69,Medium
A251,0.7,0.7,0.5,0.46,Medium
A252,0.8,1.0,0.5,0.63,Medium
A253,0.8,1.0,0.9,0.73,High
A254,0.7,0.5,0.5,0.46,Medium
A255,0.9,1.0,0.6,0.82,High
A256,0.9,1.0,0.7,0.83,High
A257,0.8,1.0,0.5,0.62,Medium
A258,0.7,0.6,0.5,0.52,Medium
A259,0.9,0.6,0.5,0.61,Medium
A260,0.8,0.6,0.5,0.54,Medium
A261,0.9,0.9,0.6,0.66,Medium
A262,0.4,1.0,0.5,0.41,Medium
A263,0.9,1.0,0.5,0.67,Medium
A264,0.9,1.0,0.8,0.77,High
A265,0.7,0.9,0.5,0.59,Medium
A266,0.9,0.8,0.8,0.85,High
A267,0.8,1.0,0.5,0.64,Medium
A268,0.7,0.9,0.5,0.44,Medium
A269,0.8,0.5,0.5,0.55,Medium
A270,0.9,0.7,0.5,0.75,High
A271,0.8,1.0,0.6,0.69,Medium
A272,0.9,0.9,0.6,0.8,High
A273,0.9,1.0,0.6,0.82,High
A274,0.9,0.5,0.5,0.66,Medium
A275,0.4,0.4,0.5,0.37,Low
A276,0.4,0.4,0.5,0.36,Low
A277,0.8,0.4,0.5,0.58,Medium
A278,0.9,1.0,0.6,0.83,High
A279,0.6,1.0,0.6,0.5,Medium
A280,0.8,0.9,0.5,0.57,Medium
A281,0.9,0.9,0.6,0.7,High
A282,0.8,0.4,0.5,0.61,Medium
A283,0.9,1.0,0.7,0.79,High
A284,0.8,0.7,0.5,0.66,Medium
A285,0.8,0.8,0.5,0.58,Medium
A286,0.7,1.0,0.5,0.61,Medium
A287,0.9,1.0,0.6,0.81,High
A288,0.5,0.4,0.5,0.36,Low
A289,0.7,0.7,0.5,0.44,Medium
A290,0.7,0.5,0.5,0.43,Medium
A291,0.8,0.4,0.5,0.52,Medium
A292,0.7,0.7,0.5,0.48,Medium
A293,0.7,0.4,0.5,0.44,Medium
A294,0.8,1.0,0.5,0.64,Medium
A295,0.8,0.8,0.5,0.6,Medium
A296,0.6,0.4,0.5,0.38,Low
A297,0.5,0.5,0.5,0.41,Medium
A298,0.9,0.7,0.5,0.61,Medium
A299,0.9,1.0,0.8,0.82,High
A300,0.6,0.5,0.5,0.38,Low
A301,0.8,0.7,0.5,0.5,Medium
A302,0.9,0.8,0.6,0.72,High
A303,0.9,1.0,0.8,0.85,High
A304,0.5,0.7,0.5,0.4,Medium
A305,0.8,0.7,0.5,0.53,Medium
A306,0.9,0.8,0.5,0.83,High
A307,0.6,0.4,0.5,0.41,Medium
A308,0.8,0.8,0.5,0.64,Medium
A309,0.8,1.0,0.6,0.62,Medium
A310,0.9,0.8,0.5,0.65,Medium
A311,0.7,0.9,0.7,0.53,Medium
A312,0.3,0.9,0.5,0.39,Low
A313,0.9,1.0,0.8,0.8,High
A314,0.8,0.4,0.5,0.46,Medium
A315,0.8,0.9,0.5,0.57,Medium
A316,0.8,1.0,0.6,0.68,Medium
A317,0.8,1.0,0.5,0.7,High
A318,0.8,1.0,0.5,0.64,Medium
A319,0.4,0.7,0.5,0.37,Low
A320,0.8,0.4,0.5,0.49,Medium
A321,0.4,0.8,0.5,0.38,Low
A322,0.9,1.0,0.7,0.72,High
A323,0.8,0.7,0.6,0.63,Medium
A324,0.8,0.4,0.5,0.57,Medium
A325,0.9,0.7,0.5,0.65,Medium
A326,0.9,0.8,0.5,0.65,Medium
A327,0.6,0.8,0.5,0.44,Medium
A328,0.8,0.8,0.5,0.58,Medium
A329,0.7,0.6,0.5,0.46,Medium
A330,0.8,0.9,0.5,0.55,Medium
A331,0.9,1.0,0.6,0.83,High
A332,0.9,0.9,0.5,0.71,High
A333,0.6,0.4,0.5,0.38,Low
A334,0.9,0.8,0.5,0.69,Medium
A335,0.4,0.4,0.5,0.35,Low
A336,0.8,0.4,0.5,0.62,Medium
A337,0.5,0.5,0.5,0.39,Low
A338,0.8,0.9,0.5,0.59,Medium
A339,0.8,0.9,0.5,0.63,Medium
A340,0.7,0.5,0.5,0.44,Medium
A341,0.8,0.4,0.5,0.57,Medium
A342,0.7,1.0,0.5,0.55,Medium
A343,0.4,0.5,0.5,0.38,Low
A344,0.8,0.9,0.9,0.75,High
A345,0.9,0.4,0.5,0.62,Medium
A346,0.3,0.4,0.5,0.35,Low
A347,0.6,1.0,0.7,0.51,Medium
A348,0.8,1.0,0.6,0.75,High
A349,0.6,0.4,0.5,0.38,Low
A350,0.9,1.0,0.5,0.82,High
A351,0.8,0.5,0.5,0.5,Medium
A352,0.7,0.9,0.5,0.57,Medium
A353,0.9,1.0,0.5,0.72,High
A354,0.9,1.0,0.8,0.81,High
A355,0.8,1.0,0.8,0.78,High
A356,0.8,0.4,0.5,0.57,Medium
A357,0.8,0.8,0.5,0.61,Medium
A358,0.8,1.0,0.5,0.58,Medium
A359,0.8,0.5,0.5,0.57,Medium
A360,0.7,1.0,0.8,0.66,Medium
A361,0.9,1.0,0.7,0.82,High
A362,0.9,0.4,0.6,0.62,Medium
A363,0.8,0.4,0.5,0.47,Medium
A364,0.6,0.7,0.5,0.48,Medium
A365,0.9,1.0,0.6,0.72,High
A366,0.9,0.6,0.5,0.67,Medium
A367,0.8,0.4,0.5,0.47,Medium
A368,0.7,0.5,0.5,0.56,Medium
A369,0.9,0.5,0.5,0.7,High
A370,0.6,0.4,0.5,0.38,Low
A371,0.9,1.0,0.5,0.72,High
A372,0.9,1.0,0.9,0.83,High
A373,0.8,1.0,0.5,0.66,Medium
A374,0.9,0.8,0.6,0.84,High
A375,0.9,0.6,0.6,0.84,High
A376,0.7,0.6,0.5,0.51,Medium
A377,0.6,0.8,0.5,0.44,Medium
A378,0.9,0.7,0.5,0.73,High
A379,0.4,0.7,0.5,0.39,Low
A380,0.5,0.8,0.5,0.4,Medium
A381,0.8,1.0,0.5,0.58,Medium
A382,0.7,0.4,0.5,0.38,Low
A383,0.7,0.4,0.5,0.49,Medium
A384,0.8,0.9,0.5,0.66,Medium
A385,0.9,0.8,0.5,0.67,Medium
A386,0.9,0.6,0.5,0.68,Medium
A387,0.9,0.7,0.5,0.67,Medium
A388,0.6,0.5,0.5,0.42,Medium
A389,0.5,0.9,0.5,0.46,Medium
A390,0.9,0.8,0.7,0.7,High
A391,0.4,0.4,0.5,0.36,Low
A392,0.9,0.5,0.5,0.69,Medium
A393,0.8,1.0,0.5,0.7,High
A394,0.9,0.9,0.6,0.77,High
A395,0.7,1.0,0.7,0.67,Medium
A396,0.6,0.8,0.5,0.41,Medium
A397,0.8,0.5,0.5,0.52,Medium
A398,0.4,0.8,0.5,0.36,Low
A399,0.9,0.4,0.5,0.55,Medium
A400,0.7,0.7,0.5,0.48,Medium
A401,0.4,0.5,0.5,0.36,Low
A402,0.9,1.0,0.6,0.82,High
A403,0.7,0.4,0.5,0.43,Medium
A404,0.9,1.0,0.7,0.7,High
A405,0.7,0.5,0.5,0.48,Medium
A406,0.9,0.9,0.5,0.67,Medium
A407,0.7,0.5,0.5,0.52,Medium
A408,0.9,1.0,0.9,0.85,High
A409,0.8,0.9,0.6,0.71,High
A410,0.4,0.4,0.5,0.36,Low
A411,0.6,0.8,0.5,0.49,Medium
A412,0.7,0.8,0.5,0.54,Medium
A413,0.8,1.0,0.6,0.63,Medium
A414,0.9,1.0,0.6,0.83,High
A415,0.5,0.8,0.5,0.4,Medium
A416,0.9,0.4,0.5,0.52,Medium
A417,0.9,1.0,0.6,0.73,High
A418,0.8,0.8,0.8,0.65,Medium
A419,0.9,1.0,0.5,0.71,High
A420,0.9,0.9,0.6,0.73,High
A421,0.8,0.6,0.5,0.43,Medium
A422,0.5,1.0,0.6,0.49,Medium
A423,0.8,0.8,0.5,0.62,Medium
A424,0.9,1.0,0.9,0.83,High
A425,0.9,0.9,0.5,0.75,High
A426,0.5,0.5,0.5,0.41,Medium
A427,0.8,0.5,0.5,0.46,Medium
A428,0.6,1.0,0.5,0.46,Medium
A429,0.7,0.4,0.5,0.48,Medium
A430,0.9,1.0,0.7,0.75,High
A431,0.6,1.0,0.5,0.51,Medium
A432,0.6,0.5,0.5,0.4,Medium
A433,0.3,0.6,0.5,0.36,Low
A434,0.6,0.4,0.5,0.41,Medium
A435,0.6,0.5,0.5,0.43,Medium
A436,0.5,0.5,0.5,0.36,Low
A437,0.9,0.7,0.5,0.69,Medium
A438,0.8,0.5,0.5,0.52,Medium
A439,0.9,0.9,0.8,0.84,High
A440,0.8,0.4,0.5,0.51,Medium
A441,0.8,0.6,0.5,0.54,Medium
A442,0.8,0.6,0.5,0.55,Medium
A443,0.8,0.6,0.5,0.6,Medium
A444,0.8,1.0,0.6,0.7,High
A445,0.8,0.5,0.5,0.42,Medium
A446,0.5,0.4,0.5,0.38,Low
A447,0.8,0.8,0.5,0.66,Medium
A448,0.7,0.9,0.5,0.55,Medium
A449,0.7,1.0,0.5,0.49,Medium
A450,0.9,0.9,0.8,0.79,High
A451,0.7,1.0,0.7,0.55,Medium
A452,0.4,0.7,0.6,0.41,Medium
A453,0.7,0.9,0.5,0.53,Medium
A454,0.9,0.9,0.5,0.71,High
A455,0.9,0.8,0.5,0.7,High
A456,0.9,1.0,0.6,0.71,High
A457,0.9,0.7,0.5,0.66,Medium
A458,0.7,0.9,0.5,0.49,Medium
A459,0.3,0.7,0.5,0.35,Low
A460,0.6,0.7,0.5,0.44,Medium
A461,0.6,1.0,0.5,0.56,Medium
A462,0.8,0.9,0.5,0.58,Medium
A463,0.3,0.7,0.5,0.36,Low
A464,0.9,1.0,0.8,0.83,High
A465,0.8,0.7,0.6,0.55,Medium
A466,0.9,1.0,0.5,0.72,High
A467,0.9,0.7,0.5,0.73,High
A468,0.9,1.0,0.5,0.69,Medium
A469,0.9,1.0,0.5,0.79,High
A470,0.5,0.5,0.5,0.36,Low
A471,0.7,0.4,0.5,0.53,Medium
A472,0.8,1.0,0.7,0.71,High
A473,0.7,1.0,0.5,0.58,Medium
A474,0.9,0.6,0.5,0.73,High
A475,0.8,0.9,0.5,0.66,Medium
A476,0.6,0.7,0.5,0.41,Medium
A477,0.7,0.5,0.5,0.47,Medium
A478,0.9,1.0,0.7,0.77,High
A479,0.9,0.4,0.5,0.61,Medium
A480,0.8,0.5,0.5,0.49,Medium
A481,0.7,0.9,0.5,0.56,Medium
A482,0.8,0.8,0.5,0.59,Medium
A483,0.9,0.4,0.6,0.82,High
A484,0.9,1.0,0.5,0.73,High
A485,0.9,0.9,0.6,0.82,High
A486,0.6,0.4,0.5,0.43,Medium
A487,0.8,0.8,0.5,0.55,Medium
A488,0.9,1.0,0.5,0.75,High
A489,0.5,0.4,0.5,0.35,Low
A490,0.8,0.5,0.5,0.6,Medium
A491,0.6,0.8,0.5,0.46,Medium
A492,0.5,0.6,0.5,0.41,Medium
A493,0.5,0.5,0.5,0.39,Low
A494,0.9,1.0,0.6,0.78,High
A495,0.8,0.9,0.5,0.68,Medium
A496,0.8,0.9,0.5,0.61,Medium
A497,0.9,1.0,0.5,0.83,High
A498,0.7,0.5,0.5,0.39,Low
A499,0.8,1.0,0.7,0.61,Medium
A500,0.8,0.7,0.5,0.57,Medium
A501,0.7,0.4,0.5,0.45,Medium
A502,0.8,1.0,0.6,0.7,High
A503,0.6,0.5,0.5,0.4,Medium
A504,0.9,0.5,0.5,0.73,High
A505,0.8,1.0,0.6,0.62,Medium
A506,0.9,1.0,0.7,0.81,High
A507,0.8,0.5,0.5,0.53,Medium
A508,0.6,0.7,0.5,0.43,Medium
A509,0.4,0.6,0.5,0.38,Low
A510,0.8,0.5,0.5,0.53,Medium
A511,0.4,0.4,0.5,0.37,Low
A512,0.8,0.5,0.5,0.5,Medium
A513,0.9,0.4,0.5,0.58,Medium
A514,0.6,0.6,0.5,0.46,Medium
A515,0.9,0.8,0.7,0.68,Medium
A516,0.9,0.7,0.5,0.79,High
A517,0.6,0.9,0.5,0.45,Medium
A518,0.7,0.4,0.5,0.4,Medium
A519,0.9,1.0,0.5,0.77,High
A520,0.9,0.8,0.5,0.67,Medium
A521,0.8,0.8,0.5,0.57,Medium
A522,0.9,0.7,0.5,0.68,Medium
A523,0.8,0.4,0.5,0.56,Medium
A524,0.6,0.8,0.5,0.47,Medium
A525,0.6,0.5,0.5,0.43,Medium
A526,0.6,0.4,0.5,0.41,Medium
A527,0.8,0.4,0.5,0.54,Medium
A528,0.9,0.9,0.9,0.82,High
A529,0.9,1.0,0.6,0.78,High
A530,0.6,0.6,0.5,0.46,Medium
A531,0.9,1.0,0.7,0.81,High
A532,0.5,0.7,0.5,0.43,Medium
A533,0.9,1.0,0.7,0.72,High
A534,0.7,1.0,0.6,0.65,Medium
A535,0.9,0.7,0.5,0.67,Medium
A536,0.6,0.5,0.5,0.4,Medium
A537,0.8,1.0,0.8,0.69,Medium
A538,0.9,1.0,0.8,0.76,High
A539,0.7,0.8,0.5,0.55,Medium
A540,0.8,0.4,0.5,0.45,Medium
A541,0.9,0.8,0.5,0.73,High
A542,0.9,0.6,0.5,0.62,Medium
A543,0.6,0.8,0.5,0.46,Medium
A544,0.8,1.0,0.6,0.66,Medium
A545,0.9,1.0,0.9,0.82,High
A546,0.5,1.0,0.5,0.43,Medium
A547,0.9,0.7,0.6,0.82,High
A548,0.7,0.8,0.5,0.49,Medium
A549,0.9,0.7,0.5,0.68,Medium
A550,0.6,0.5,0.5,0.44,Medium
A551,0.9,0.4,0.5,0.61,Medium
A552,0.9,1.0,0.7,0.8,High
A553,0.4,0.4,0.5,0.35,Low
A554,0.9,1.0,0.9,0.85,High
A555,0.7,1.0,0.5,0.57,Medium
A556,0.9,0.9,0.8,0.83,High
A557,0.7,0.8,0.5,0.57,Medium
A558,0.9,0.5,0.6,0.69,Medium
A559,0.9,1.0,0.9,0.8,High
A560,0.6,0.5,0.5,0.43,Medium
A561,0.8,0.5,0.5,0.56,Medium
A562,0.8,1.0,0.5,0.53,Medium
A563,0.9,0.7,0.5,0.64,Medium
A564,0.9,0.6,0.5,0.66,Medium
A565,0.9,0.5,0.5,0.66,Medium
A566,0.9,0.7,0.5,0.7,High
A567,0.7,0.5,0.5,0.45,Medium
A568,0.9,0.6,0.7,0.8,High
A569,0.5,0.5,0.5,0.41,Medium
A570,0.8,1.0,0.5,0.7,High
A571,0.4,0.5,0.5,0.35,Low
A572,0.9,0.4,0.5,0.73,High
A573,0.9,1.0,0.7,0.75,High
A574,0.9,0.7,0.6,0.73,High
A575,0.3,0.6,0.5,0.37,Low
A576,0.8,0.7,0.5,0.48,Medium
A577,0.7,1.0,0.6,0.53,Medium
A578,0.8,0.4,0.5,0.52,Medium
A579,0.9,1.0,0.5,0.8,High
A580,0.9,1.0,0.9,0.8,High
A581,0.9,0.7,0.5,0.67,Medium
A582,0.9,0.6,0.5,0.71,High
A583,0.7,0.7,0.5,0.44,Medium
A584,0.9,0.5,0.5,0.81,High
A585,0.4,1.0,0.5,0.38,Low
A586,0.9,1.0,0.6,0.82,High
A587,0.8,1.0,0.5,0.51,Medium
A588,0.6,0.6,0.5,0.43,Medium
A589,0.9,1.0,0.6,0.72,High
A590,0.7,1.0,0.6,0.57,Medium
A591,0.7,1.0,0.7,0.61,Medium
A592,0.8,0.9,0.5,0.63,Medium
A593,0.9,0.9,0.5,0.71,High
A594,0.9,1.0,0.6,0.8,High
A595,0.9,0.6,0.6,0.77,High
A596,0.8,0.7,0.5,0.6,Medium
A597,0.8,1.0,0.5,0.68,Medium
A598,0.9,1.0,0.6,0.79,High
A599,0.7,0.4,0.5,0.39,Low
A600,0.9,1.0,0.7,0.83,High
A601,0.9,0.4,0.5,0.54,Medium
A602,0.8,0.5,0.5,0.56,Medium
A603,0.7,0.4,0.5,0.5,Medium
A604,0.7,0.4,0.5,0.44,Medium
A605,0.5,1.0,0.5,0.4,Medium
A606,0.9,0.9,0.8,0.76,High
A607,0.6,1.0,0.6,0.54,Medium
A608,0.7,0.8,0.5,0.56,Medium
A609,0.9,0.8,0.6,0.81,High
A610,0.9,0.8,0.5,0.72,High
A611,0.4,0.7,0.5,0.36,Low
A612,0.7,1.0,0.6,0.62,Medium
A613,0.9,0.6,0.5,0.69,Medium
A614,0.4,0.4,0.5,0.38,Low
A615,0.9,1.0,0.6,0.75,High
A616,0.5,1.0,0.5,0.39,Low
A617,0.9,0.8,0.5,0.6,Medium
A618,0.7,1.0,0.6,0.57,Medium
A619,0.9,0.9,0.6,0.73,High
A620,0.6,0.4,0.5,0.38,Low
A621,0.8,0.5,0.5,0.56,Medium
A622,0.5,0.4,0.5,0.37,Low
A623,0.9,0.9,0.5,0.73,High
A624,0.8,0.6,0.5,0.64,Medium
A625,0.5,1.0,0.6,0.46,Medium
A626,0.8,0.9,0.5,0.58,Medium
